"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2019-02-05,5,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-06,3,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-07,3,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-08,1,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-09,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-10,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-11,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-12,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-13,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-14,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-15,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-16,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-17,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-18,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-19,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-20,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-21,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-22,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-23,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-24,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-25,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-26,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-27,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-02-28,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-01,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-02,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-03,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-04,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-05,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-06,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-07,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-08,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-09,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-10,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-11,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-12,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-13,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-14,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-15,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-16,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-17,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-18,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-19,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-20,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-21,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-22,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-23,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-24,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-25,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-26,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-27,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-28,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-29,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-30,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-03-31,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-01,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-02,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-03,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-04,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-05,1,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-06,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-07,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-08,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-09,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-10,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-11,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-12,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-13,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-14,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-15,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-16,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-17,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-18,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-19,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-20,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-21,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-22,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-23,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-24,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-25,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-26,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-27,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-28,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-29,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-04-30,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-01,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-02,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-03,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-04,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-05,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-06,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-07,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-08,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-09,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-10,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-11,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-12,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-13,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-14,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-15,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-16,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-17,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-18,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-19,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-20,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-21,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-22,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-23,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-24,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-25,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-26,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-27,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-28,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-29,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-30,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-05-31,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-01,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-02,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-03,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-04,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-05,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-06,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-07,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-08,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-09,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-10,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-11,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
2019-06-12,0,"Sonstiges","schneehoehe","Gesamtschneehöhe; Morgenmessung von 6 UTC","SMA Zürich Fluntern","cm","meteoschweiz","täglich","ja","https://github.com/statistikZH/covid19monitoring_other_Weather"
